AZ_SCRIPT,ALT_SCRIPT,ALT,AZ,HA,RA,DEC,LST,ETIQUETA,TIME,
50.714,44.306,0.7585211977,0.9078705405,-0.598137107,2.199025112,0.1504877432,6:06:54,870,5/6/2016 15:09:07,48
52.523,77.652,1.340920512,0.9738845293,-0.1788802178,1.800671948,-0.2573353019,6:11:41,836,5/6/2016 15:13:54,340
53.641,33.561,0.5819728236,0.9436306541,-0.7672774337,2.397145766,0.2457620603,6:13:32,870,5/6/2016 15:15:45,48
55.45,52.689,0.9062280606,0.9898906398,-0.5259054796,2.167675056,0.0118227543,6:16:16,870,5/6/2016 15:18:28,48
58.377,39.9,0.6773380363,1.041163895,-0.7220961387,2.370442036,0.1249038131,6:17:46,878,5/6/2016 15:19:58,64
60.186,64.215,1.108861502,1.073821143,-0.3942005002,2.077193282,-0.146555232,6:25:43,868,5/6/2016 15:27:53,44
61.304,30.009,0.5020716993,1.090404177,-0.888200504,2.583262686,0.1922426216,6:28:29,876,5/6/2016 15:30:39,60
66.04,35.888,0.6107527744,1.16830769,-0.8404771142,2.548703024,0.07800902708,6:31:30,882,5/6/2016 15:33:39,72
67.849,56.54,0.9650239818,1.210660461,-0.5437666382,2.259160916,-0.1290580396,6:33:08,878,5/6/2016 15:35:17,64
68.967,26.673,0.4547371276,1.214253312,-1.001211476,2.725893139,0.1230523492,6:35:16,884,5/6/2016 15:37:25,76
70.776,42.574,0.7258563791,1.252008577,-0.772600793,2.50411772,-0.03659767084,6:36:50,883,5/6/2016 15:38:59,74
